IPORateID,ServiceRateID,IPOID
1670,9004,15130
1680,9004,15136
1690,9004,15137
1700,9004,15138
1710,9004,15380
1720,9004,15381
1730,9004,15456
1740,9004,15466
1750,9004,15536
1760,9004,15537
1770,9004,15538
1780,9004,15652
1790,9004,15711
1800,9004,15807
1810,9004,15808
1820,9004,15814
1830,9004,15823
1840,9004,15824
1850,9004,16044
1860,9004,16045
1870,9004,16046
1880,9004,16047
1890,9004,16099
1900,9004,16252
1910,9004,16386
1920,9004,16426
1930,9004,16610
1940,9004,16624
1950,9004,16626
1960,9004,16628
1970,9004,16774
1980,9004,16820
1990,9004,16825
2000,9004,17012
2010,9004,17026
2020,9004,17027
2030,9004,17028
2040,9004,17216
2050,9004,17220
2060,9004,17263
2070,9004,17267
2080,9004,17450
2090,9004,17480
2100,9004,17535
2110,9004,17536
2120,9004,17538
2130,9004,17587
2140,9004,17595
2150,9004,17596
2160,9004,17608
2170,9004,17642
2180,9004,17643
2190,9004,17644
2200,9004,17750
2210,9004,17751
2220,9004,17823
2230,9004,17824
2240,9004,18007
2250,9004,18011
2260,9004,18012
2270,9004,18053
2280,9004,18090
2290,9004,18094
2300,9004,18099
2310,9004,18100
2320,9004,18102
2330,9004,18103
2340,9004,18191
2350,9004,18197
2360,9004,18198
2370,9004,18215
2380,9004,18265
2390,9004,18281
2400,9004,18282
2410,9004,18313
2420,9004,18331
2430,9004,18332
2440,9004,18333
2450,9004,18334
2460,9004,18335
2470,9004,18336
2480,9004,18360
2490,9004,18362
2500,9004,18382
2510,9004,18397
2520,9004,18401
2530,9004,18402
2540,9004,18403
2550,9004,18426
2560,9004,18435
2570,9004,18448
2580,9004,18449
2590,9004,18488
2600,9004,18489
2610,9004,18515
2620,9004,18516
2630,9004,18517
2640,9004,18531
2650,9004,18585
2660,9004,18596
2670,9004,18600
2680,9004,18609
2690,9004,18610
2700,9004,18611
2710,9004,18613
2720,9004,100373
2730,9004,102205
2740,9005,10124
2750,9005,10125
2760,9005,10126
2770,9005,10127
2780,9005,10310
2790,9005,10311
2800,9005,10312
2810,9005,10382
2820,9005,10427
2830,9005,10428
2840,9005,10510
2850,9005,10514
2860,9005,10525
2870,9005,10542
2880,9005,10545
2890,9005,10679
2900,9005,10680
2910,9005,10684
2920,9005,10687
2930,9005,10952
2940,9005,10958
2950,9005,10969
2960,9005,10974
2970,9005,10984
2980,9005,10995
2990,9005,11256
3000,9005,11262
3010,9005,11283
3020,9005,11285
3030,9005,11329
3040,9005,11341
3050,9005,11342
3060,9005,11413
